,Tree_ID,Average_Node_Degree,Reply_to_Node_Ratio,Gini_Coefficient,Nestedness_Score,Structural_Entropy
3276,453712847,0.8571428571428571,0.8571428571428571,0.5238095238095238,2.2857142857142856,2.2359263506290326
3277,453712737,0.975,0.975,0.6134615384615385,4.2,2.46863083658444
3278,453700543,0.9411764705882353,0.9411764705882353,0.5808823529411765,2.2941176470588234,2.345719283930527
3279,453692020,0.0,0.0,,0.0,0.0
3280,453689050,0.0,0.0,,0.0,0.0
3281,453887574,0.0,0.0,,0.0,0.0
3282,453882411,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3283,453882011,0.8888888888888888,0.8888888888888888,0.4722222222222222,2.7777777777777777,2.4193819456463714
3284,453878279,0.8571428571428571,0.8571428571428571,0.38095238095238093,2.142857142857143,2.2359263506290326
3285,453877717,0.0,0.0,,0.0,0.0
3286,453876740,0.0,0.0,,0.0,0.0
3287,453876544,0.0,0.0,,0.0,0.0
3288,453876374,0.5,0.5,0.5,0.5,1.0
3289,453876145,0.8888888888888888,0.8888888888888888,0.4722222222222222,1.6666666666666667,1.8910611120726528
3290,453871510,0.5,0.5,0.5,0.5,1.0
3291,453871415,0.8333333333333334,0.8333333333333334,0.5666666666666667,1.6666666666666667,1.9182958340544896
3292,453869453,0.8333333333333334,0.8333333333333334,0.5666666666666667,1.5,1.9182958340544893
3293,453869319,0.0,0.0,,0.0,0.0
3294,453866045,0.0,0.0,,0.0,0.0
3295,453865361,0.9166666666666666,0.9166666666666666,0.4772727272727273,2.0,2.1258145836939115
3296,453855657,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3297,453853817,0.0,0.0,,0.0,0.0
3298,453850733,0.0,0.0,,0.0,0.0
3299,453850418,0.0,0.0,,0.0,0.0
3300,453850113,0.5,0.5,0.5,0.5,1.0
3301,453849864,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.584962500721156
3302,453848484,0.5,0.5,0.5,0.5,1.0
3303,453848183,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3304,453847463,0.0,0.0,,0.0,0.0
3305,453845791,0.0,0.0,,0.0,0.0
3306,453841609,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6500224216483541
3307,453841351,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9182958340544896
3308,453841232,0.5,0.5,0.5,0.5,1.0
3309,453840571,0.0,0.0,,0.0,0.0
3310,453839516,0.0,0.0,,0.0,0.0
3311,453838853,0.0,0.0,,0.0,0.0
3312,453837614,0.75,0.75,0.75,0.75,0.8112781244591328
3313,453837586,0.8888888888888888,0.8888888888888888,0.5277777777777778,1.8888888888888888,2.058813890331201
3314,453837391,0.0,0.0,,0.0,0.0
